"","V1","V2","V3"
"160",8.3,21.45,1
"161",7.9,21.6,1
"162",7.15,21.75,1
"163",6.7,21.3,1
"164",5.2,21.1,2
"165",6.2,21.95,1
"166",6.75,22.4,1
"167",6.15,22.5,1
"168",5.65,22.2,1
"169",4.65,22.55,1
"170",4.1,23.45,1
"171",5.35,22.8,1
"172",7.4,22.6,1
"173",7.75,22.1,1
"174",8.5,22.3,1
"175",9.3,22,1
"176",9.7,22.95,1
"177",8.8,22.95,1
"178",8.05,22.9,1
"179",7.6,23.15,1
"180",6.85,23,1
"181",6.2,23.25,1
"182",5.7,23.4,1
"183",5.1,23.55,1
"184",4.55,24.15,1
"185",5.5,24,1
"186",6.1,24.05,1
"187",6.5,23.6,1
"188",6.75,23.95,1
"189",7.3,23.75,1
"190",8.3,23.4,1
"191",8.9,23.7,1
"192",9.55,23.65,1
"193",10.35,24.1,1
"194",7.95,24.05,1
"195",3.95,24.4,1
"196",3.75,25.25,1
"197",3.9,25.95,1
"198",4.55,26.65,1
"199",5.25,26.75,1
"200",6.5,27.6,1
"201",7.45,27.6,1
"202",8.35,27.35,1
"203",9.25,27.2,1
"204",9.95,26.5,1
"205",10.55,25.6,1
"206",9.9,24.95,1
"207",9.2,24.5,1
"208",8.55,24.2,1
"209",8.8,24.8,1
"210",9.2,25.35,1
"211",9.55,26.05,1
"212",9.05,26.6,1
"213",8.8,25.8,1
"214",8.15,26.35,1
"215",8.05,25.8,1
"216",8.35,25.2,1
"217",7.9,25.3,1
"218",8.05,24.7,1
"219",7.3,24.4,1
"220",7.55,24.85,1
"221",6.85,24.45,1
"222",6.25,24.65,1
"223",5.55,24.5,1
"224",4.65,25.1,1
"225",5,25.55,1
"226",5.55,26.1,1
"227",5.55,25.25,1
"228",6.2,25.2,1
"229",6.8,25.05,1
"230",7.4,25.25,1
"231",6.65,25.45,1
"232",6.15,25.8,1
"233",6.5,26.1,1
"234",6.6,26.6,1
"235",7.7,26.65,1
"236",7.5,26.2,1
"237",7.5,25.65,1
"238",7.05,25.85,1
"239",6.9,27.15,1
"240",6.15,26.9,1
