"","V1","V2"
"130",31.6,17.35
"131",31.45,16.55
"132",31.3,15.8
"133",31.15,15.05
"134",30.9,14.35
"135",30.6,13.65
"136",30.3,13
"137",29.9,12.3
"138",29.5,11.75
"139",29,11.15
"140",28.5,10.6
"141",28,10.1
"142",27.55,9.65
"143",26.9,9.1
"144",26.25,8.8
"145",25.7,8.4
"146",25.15,8.05
"147",24.5,7.75
"148",23.9,7.65
"149",23.15,7.4
"150",22.5,7.3
"151",21.9,7.1
"152",21.25,7.05
"153",20.5,7
"154",19.9,6.95
"155",19.25,7.05
"156",18.75,7.1
"157",18.05,7.25
"158",17.5,7.35
"159",16.9,7.6
"160",16.35,7.8
"161",15.8,8.05
"162",15.4,8.35
"163",14.9,8.7
"164",14.45,8.9
"165",13.95,9.3
"166",13.6,9.65
"167",13.25,10.1
"168",12.95,10.55
"169",12.65,10.9
"170",12.35,11.4
"171",12.2,11.75
"172",11.95,12.2
"173",11.8,12.65
"174",11.75,13.05
"175",11.55,13.6
"176",11.55,14
"177",11.55,14.35
"178",11.55,14.7
"179",11.6,15.25
"180",11.65,15.7
"181",11.8,16.05
"182",11.85,16.5
"183",12,16.75
"184",12.15,17.2
"185",12.3,17.6
"186",12.55,17.85
"187",12.8,18.05
"188",13.1,18.4
"189",13.3,18.6
"190",13.55,18.85
"191",13.8,19.05
"192",14.15,19.25
"193",14.45,19.5
"194",14.85,19.55
"195",15,19.7
"196",15.25,19.7
"197",15.55,19.85
"198",15.95,19.9
"199",16.2,19.9
"200",16.55,19.9
"201",16.85,19.9
"202",17.2,19.9
"203",17.4,19.8
"204",17.65,19.75
"205",17.8,19.7
"206",18,19.6
"207",18.2,19.55
"208",3.9,9.6
"209",3.55,10.65
"210",3.35,11.4
"211",3.1,12.35
"212",3.1,13.25
"213",3.05,14.15
"214",3,15.1
"215",3.1,16
"216",3.2,16.85
"217",3.45,17.75
"218",3.7,18.7
"219",3.95,19.55
"220",4.35,20.25
"221",4.7,21.1
"222",5.15,21.8
"223",5.6,22.5
"224",6.2,23.3
"225",6.8,23.85
"226",7.35,24.45
"227",8.05,24.95
"228",8.8,25.45
"229",9.5,26
"230",10.2,26.35
"231",10.9,26.75
"232",11.7,27
"233",12.45,27.25
"234",13.3,27.6
"235",14.05,27.6
"236",14.7,27.75
"237",15.55,27.75
"238",16.4,27.75
"239",17.1,27.75
"240",17.9,27.75
"241",18.55,27.7
"242",19.35,27.6
"243",20.1,27.35
"244",20.7,27.1
"245",21.45,26.8
"246",22.05,26.5
"247",22.7,26.15
"248",23.35,25.65
"249",23.8,25.3
"250",24.3,24.85
"251",24.75,24.35
"252",25.25,23.95
"253",25.65,23.45
"254",26.05,23
"255",26.2,22.3
"256",26.6,21.8
"257",26.75,21.25
"258",27,20.7
"259",27.15,20.15
"260",27.15,19.6
"261",27.35,19.1
"262",27.35,18.45
"263",27.4,18
"264",27.3,17.4
"265",27.15,16.9
"266",27,16.4
"267",27,15.9
"268",26.75,15.35
"269",26.55,14.85
"270",26.3,14.45
"271",25.95,14.1
"272",25.75,13.7
"273",25.35,13.3
"274",25.05,12.95
"275",24.8,12.7
"276",24.4,12.45
"277",24.05,12.2
"278",23.55,11.85
"279",23.2,11.65
"280",22.75,11.4
"281",22.3,11.3
"282",21.9,11.1
"283",21.45,11.05
"284",21.1,11
"285",20.7,10.95
"286",20.35,10.95
"287",19.95,11
"288",19.55,11
"289",19.15,11.05
"290",18.85,11.1
"291",18.45,11.25
"292",18.15,11.35
"293",17.85,11.5
"294",17.5,11.7
"295",17.2,11.95
"296",17,12.05
"297",16.75,12.2
"298",16.65,12.35
"299",16.5,12.5
"300",16.35,12.7
"301",16.2,12.8
"302",16.15,12.95
"303",16,13.1
"304",15.95,13.25
"305",15.9,13.4
"306",15.8,13.5
"307",15.8,13.65
"308",15.75,13.85
"309",15.65,14.05
"310",15.65,14.25
"311",15.65,14.5
"312",15.65,14.6
